| Вимога | Прецедент | Класи | Діаграма послідовності |
|--------|-----------|-------|------------------------|
| FR-01 | UC-01 "Ввести тему" | User, GenerationRequest | SD-01 (фрагмент) |
| FR-02 | UC-03 "Згенерувати гачки" | GenerationRequest, Hook, AuthService | SD-01 |
| FR-03 | UC-02 "Обрати стиль" | GenerationRequest | SD-01 (фрагмент) |
| FR-04 | UC-04 "Переглянути результати" | Hook, UI | SD-01 (фрагмент) |
| FR-05 | UC-05 "Скопіювати текст" | Hook | — |
| FR-06 | UC-06 "Переглянути історію" | RegisteredUser, History, Hook | — |
| FR-07 | UC-07 "Зареєструватись / увійти" | AuthService, User | — |

Діаграму прецедентів (Крок 3) виконав Крутько Дмитро, діаграму класів (Крок 4) виконала Доброскокіна Анастасія, діаграму послідовності (Крок 5) виконала Гиренко Владислава. Матрицю трасовності складено командою спільно.
